FDCL|21.9,24.5,27.3,26.2,29.6|16.2,13.0,22.3,21.6,27.7
GTZE|0,0,0,0,123.2|29.0,31.7,60.2,35.5,35.9
FED|26.1,20.4,18.1,20.1,17.8|0,0,0,0,0
WRWDT|18.7,26.3,-26.9,14.0,16.2|65.8,-367.6,30.0,519.6,52.9
FNCB|12.5,12.6,11.8,13.9,11.5|7.6,13.2,15.6,26.8,25.5
FNLX|28.1,48.9,49.5,50.1,51.1|22.0,33.7,22.3,28.4,29.7
FSRC|0,0,0,0,0|18.1,8.1,5.0,3.9,10.2
FLMT|-45.6,17.2,24.0,23.8,25.4|0,32.7,33.2,32.8,32.7
BJTM|11.2,1.6,27.4,5.1,6.5|28.5,369.5,25.4,-23.8,18.9
FORTIS|0,0,0,0,0|4.6,-7.9,42.2,-55.2,-6.5
FSCI|45.5,41.0,87.9,54.6,53.4|32.5,32.4,34.3,34.8,33.8
DBPH|0,0,0,0,0|-1.8,-21.4,30.8,76.3,28.1
FLFD|13.0,14.6,74.2,-7.8,17.4|38.6,30.7,31.9,31.2,17.7
FVIL|0,0,0,0,0|-4.9,-8.5,-37.7,-6.7,3.7
PNTR|103.6,22.5,12.8,8.6,16.1|13.8,59.4,79.7,140.2,6.0
GESHIP|31.3,21.2,34.2,22.2,19.6|15.4,7.7,8.5,6.3,9.6
GABR|13.5,28.3,28.7,25.1,22.9|16.5,6.5,21.9,28.0,21.1
GAIL|24.8,27.8,27.6,12.0,31.0|28.8,34.2,33.2,32.1,33.8
GAMM|9.9,-2.6,0,0,0|58.8,544.6,-0.8,13.4,1.7
GNST|29.6,40.0,51.0,69.8,59.4|28.5,28.3,40.6,30.7,26.4
GATE|46.6,67.0,49.2,59.9,56.0|-10.9,2.9,27.4,21.3,11.7
GACO|152.4,22.9,54.0,26.1,29.7|40.6,31.1,19.7,29.5,24.4
GCOMM|1.7,0,0,0,0|14.6,-12.5,17.8,1.0,2.8
BVHD|2.9,7.3,4.3,-22.0,0|6.6,-0.9,1.1,1.0,0.2
GEOJIT|36.6,59.0,88.0,27.9,-3.1|37.0,37.4,51.0,33.6,33.3
GMSO|14.6,13.0,16.9,15.6,27.5|0.7,2.4,27.4,31.0,38.1
GJHC|-209.2,45.0,28.0,18.4,12.1|82.0,2.6,16.8,19.6,20.4
GCHS|36.1,26.0,41.0,31.7,33.1|0,0,0,0,0
ISHV|56.7,64.6,56.1,107.9,49.1|35.7,35.3,37.0,36.6,36.4
