ERCN|19.4,12.8,8.4,5.9,-42.2|1.7,0.9,1.3,1.9,4.5
EIML|17.5,17.7,15.7,16.5,16.7|0,0.1,0.1,0.1,0.1
ESBI|30.9,22.4,16.0,12.4,8.2|0,0,0,0,0
ESCR|7.8,7.1,4.5,13.2,4.2|0.1,0.1,0.1,0.1,0.1
ESSDEE|38.1,16.9,9.0,8.9,5.8|0,0.1,0.1,0.2,0.2
ESRO|-7.1,-58.9,-106.7,5.1,39.0|3.3,5.6,13.1,5.8,3.9
ESSH|1.3,3.2,2.9,12.2,12.4|0.9,2.0,2.3,1.8,1.8
ESPK|8.0,5.8,5.8,8.6,15.3|0.9,0.6,0.5,0.6,0.9
EVER|-2.3,-17.4,0.9,2.3,7.8|0.3,0.3,0.1,0.1,0.1
ETEV|19.5,21.1,18.1,3.1,10.7|0.1,0.1,0.2,0.2,0.3
EKCL|9.3,0.6,-21.2,-26.5,-32.8|0.3,0.1,0.6,0.5,1.0
EVRON|12.8,-15.4,-125.9,-126.9,129.4|0.1,0.4,0.9,4.9,-4.7
EXCR|6.4,8.6,22.0,18.4,15.8|0.1,0.1,0,0,0
EXIDE|16.6,17.8,15.7,16.0,16.5|0,0,0,0,0
FCHT|-54.2,-34.6,12.2,184.6,58.0|0.8,1.5,1.5,-1.1,-0.4
FAG|24.1,18.1,12.3,13.8,15.3|0,0,0,0,0
AGRS|9.8,39.9,31.9,36.0,25.0|2.1,1.1,0.7,0.4,0.3
SCN|14.5,-1.6,-7.9,-4.7,-7.2|0.6,0.9,1.1,0,0
FDCL|28.3,24.5,19.3,19.8,16.0|0,0,0,0,0
GTZE|10.3,9.3,-1.6,6.2,8.4|0,0,0,0,0
FED|11.1,13.5,13.6,12.4,13.7|0,0,0,0,0
WRWDT|14.4,8.0,-8.8,15.7,12.5|0.2,0.2,0.3,0.7,0.7
FNCB|12.1,12.3,15.7,18.8,15.7|0.1,0.1,0.2,0.1,0
FNLX|22.5,12.3,11.4,18.9,21.5|0.3,0.3,0.3,0.2,0.3
FSRC|4.3,8.6,9.2,11.2,10.9|0.6,0.5,0.3,0.2,0.2
FLMT|-10.5,27.2,30.4,27.2,21.8|0,0,0,0,0
BJTM|17.5,72.1,1.2,6.3,7.7|0.4,0.1,0,0,0
FORTIS|3.8,3.8,2.2,13.5,2.9|2.0,0.3,1.1,1.3,0.4
FSCI|32.4,24.4,20.0,25.1,29.1|0.1,0.1,0.1,0,0
DBPH|-51.9,-13.4,9.1,8.6,12.0|0.7,1.5,0.2,0.2,0.1
FLFD|9.6,8.0,1.2,-3.4,3.0|0,0,0,0,0
FVIL|-2.0,-3.8,-2.9,-6.7,-0.9|0.1,0,0,0,0
PNTR|0.4,2.4,3.7,8.4,2.5|0.7,1.1,1.1,1.1,1.2
GESHIP|5.3,8.5,8.5,10.1,12.5|0.9,0.9,0.7,0.7,0.6
GABR|22.9,14.8,14.9,18.4,19.8|0.1,0.1,0,0,0
GAIL|17.8,15.2,14.7,9.3,6.4|0.4,0.5,0.5,0.4,0.4
GAMM|5.1,-4.9,-76.6,-278.7,224.9|1.7,2.1,5.6,30.7,-25.7
GNST|21.5,14.6,11.0,9.9,11.2|0,0,0,0,0
GATE|12.2,14.1,17.7,16.1,16.2|0.3,0.2,0.1,0.2,0.3
GACO|4.7,10.1,1.2,3.0,7.5|0.6,0.6,0.3,0.3,0.5
GCOMM|30.1,14.8,7.3,291.3,50.0|0.5,0.8,0.6,-1.4,-0.6
